Coluna1;Column7;Column8;Column9;Column18
ScreenConnect;https://www.connectwise.com;;;C:\Program Files (x86)\ScreenConnect Client (Random)\ScreenConnect.ClientService.exe, Remote Workforce Client.exe, *\*\ScreenConnect.ClientService.exe, C:\Program Files (x86)\ScreenConnect Client (<string ID>)\*, *\ScreenConnect Client*\*, *\*\ScreenConnect.WindowsClient.exe, screenconnect*.exe, screenconnect.windowsclient.exe, Remote Workforce Client.exe, screenconnect*.exe, ConnectWiseControl*.exe, connectwise*.exe, screenconnect.windowsclient.exe, screenconnect.clientservice.exe
RealVNC;;;;
MeshCentral;https://meshcentral.com/;MeshAgent.exe;;meshcentral*.exe, meshagent*.exe, /usr/local/mesh_services/meshagent/meshagent/*, /usr/local/mesh_services/meshagent/*
Remote Desktop Plus;;;;rdp.exe
VNC;;;;winvnc*.exe, vncserver.exe, winwvc.exe, winvncsc.exe, vncserverui.exe, vncviewer.exe, winvnc.exe
CloudFlare Tunnel;;;;cloudflared.exe
ManageEngine;;;;InstallShield Setup.exe, ManageEngine_Remote_Access_Plus.exe, *\dcagentservice.exe, C:\Program Files (x86)\DesktopCentral_Agent\bin\*, *\DesktopCentral_Agent\bin\*
Free Ping Tool;;;;can't find this one, can't find this one
Remote Manipulator System;;;;rfusclient.exe, rutserv.exe
Syncthing;;;;C:\Users\*\AppData\Roaming\SyncTrayzor\*, *Users\*\AppData\Roaming\SyncTrayzor\*, *\Syncthing.exe
Rapid7;;;;ir_agent.exe, rapid7_agent_core.exe, rapid7_endpoint_broker.exe
Laplink Everywhere;;;;laplink.exe, laplink-everywhere-setup*.exe, laplinkeverywhere.exe, llrcservice.exe, serverproxyservice.exe, OOSysAgent.exe
Royal Server;;;;
Quick Assist;;;;quickassist.exe
ITSupport247 (ConnectWise);;;;saazapsc.exe
247ithelp.com (ConnectWise);;;;Remote Workforce Client.exe
ZeroTier;;;;zerotier*.msi, zerotier*.exe, zero-powershell.exe
